customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
1,60.0,Other,North,Primary,Unemployed,724178.54,279260.35,Education,731.0,1,107,38.37,2018-03-14,0
2,45.0,Male,South,Secondary,Unemployed,980757.46,212868.28,Home,637.0,1,41,10.6,2021-04-08,0
3,23.0,Other,North,Post-Graduate,Salaried,804111.27,71418.6,Home,645.0,2,70,42.51,2024-02-13,0
4,29.0,Male,South,Secondary,Unemployed,414398.29,362551.67,Other,746.0,1,108,92.08,2017-05-26,1
5,22.0,Male,South,Post-Graduate,Salaried,794798.16,134835.34,Business,770.0,1,69,66.31,2021-10-10,0
6,30.0,Other,East,Primary,Salaried,693279.73,93309.1,Business,651.0,1,237,48.23,2016-07-19,0
7,61.0,Female,East,Secondary,Salaried,654659.58,432264.16,Education,599.0,2,271,61.6,2026-02-18,1
8,64.0,Male,North,Post-Graduate,Salaried,204176.45,173487.01,Education,638.0,0,28,75.64,2023-02-02,1
9,55.0,Female,East,Primary,Unemployed,759076.28,163991.9,Business,718.0,5,81,37.64,2023-03-09,1
10,47.0,Other,North,Post-Graduate,Salaried,925915.32,63876.71,Other,731.0,4,274,31.77,2019-07-18,0
11,49.0,Female,East,Secondary,Unemployed,80000.0,423285.38,Home,686.0,3,256,55.89,2025-02-12,0
12,48.0,Male,South,Graduate,Salaried,525248.16,178725.96,Car,639.0,5,147,78.63,2016-08-21,1
13,26.0,Male,West,Graduate,Self-Employed,781020.81,261635.3,Education,747.0,0,252,35.91,2016-11-24,0
14,52.0,Male,East,Graduate,Salaried,272168.94,20000.0,Education,707.0,1,191,30.75,2018-09-05,0
15,37.0,Other,North,Secondary,Unemployed,1071546.48,326186.67,Car,700.0,2,132,22.59,2025-02-20,0
16,52.0,Male,West,Post-Graduate,Self-Employed,581388.52,233735.1,Other,673.0,3,237,93.78,2023-07-16,1
