customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag,income_missing,join_year,join_month,join_weekday,debt_to_income_ratio,avg_monthly_transactions,income_bins,credit_score_binary,income_quantile_bin,log_spending_ratio,sqrt_spending_ratio,boxcox_income,yeojohnson_loan
1,60.0,2,North,0.0,Unemployed,724178.54,279260.35,Education,731.0,1,107,38.37,2018-03-14,0,0,2018,3,2,0.38562361983275556,17.833333333333332,3.0,1.0,2,3.673004104955646,6.194352266379432,320.71339627549827,-0.03224066078107324
2,45.0,1,South,1.0,Unemployed,980757.46,212868.28,Home,637.0,1,41,10.6,2021-04-08,0,0,2021,4,3,0.2170447727208723,6.833333333333333,4.0,0.0,3,2.451005098112319,3.255764119219941,357.0220005832185,-0.4513069394046179
3,23.0,2,North,3.0,Salaried,804111.27,71418.6,Home,645.0,2,70,42.51,2024-02-13,0,0,2024,2,1,0.08881681262843139,11.666666666666666,4.0,0.0,3,3.772990796732589,6.519969325081215,332.8137703007234,-1.6267074314734369
4,29.0,1,South,1.0,Unemployed,414398.29,362551.67,Other,746.0,1,108,92.08,2017-05-26,1,0,2017,5,4,0.8748869837276597,18.0,1.0,1.0,0,4.533459338434091,9.595832428716125,263.19037835644843,0.43415882805149913
5,22.0,1,South,3.0,Salaried,794798.16,134835.34,Business,770.0,1,69,66.31,2021-10-10,0,0,2021,10,6,0.16964727245971478,11.5,4.0,1.0,3,4.209308814022622,8.143095234614416,331.44534673953115,-1.029343017220658
6,30.0,2,East,0.0,Salaried,693279.73,93309.1,Business,651.0,1,237,48.23,2016-07-19,0,0,2016,7,1,0.13459083824648962,39.5,3.0,0.0,2,3.8965031937701093,6.944782214007866,315.80351889848134,-1.4005186003541559
7,61.0,0,East,1.0,Salaried,654659.58,432264.16,Education,599.0,2,271,61.6,2026-02-18,1,0,2026,2,2,0.660288450983945,45.166666666666664,3.0,0.0,2,4.136765278106052,7.848566748139434,309.4626170981254,0.7883271818429453
8,64.0,1,North,3.0,Salaried,204176.45,173487.01,Education,638.0,0,28,75.64,2023-02-02,1,0,2023,2,3,0.8496915780443827,4.666666666666667,0.0,0.0,0,4.339119133662605,8.69712596206356,204.7119182390344,-0.7282657631746646
9,55.0,0,East,0.0,Unemployed,759076.28,163991.9,Business,718.0,5,81,37.64,2023-03-09,1,0,2023,3,3,0.21604139705169023,13.5,3.0,1.0,2,3.654288009344317,6.135144660071187,326.0977908215142,-0.7991624157555568
10,47.0,2,North,3.0,Salaried,925915.32,63876.71,Other,731.0,4,274,31.77,2019-07-18,0,0,2019,7,3,0.06898763701198939,45.666666666666664,4.0,1.0,3,3.489513462710723,5.636488268416781,349.8331606659115,-1.711723887333164
11,49.0,0,East,1.0,Unemployed,80000.0,423285.38,Home,686.0,3,256,55.89,2025-02-12,0,0,2025,2,2,5.29106725,42.666666666666664,0.0,0.0,0,4.041119578762556,7.475961476626267,146.58605265628162,0.7442357664752541
12,48.0,1,South,2.0,Salaried,525248.16,178725.96,Car,639.0,5,147,78.63,2016-08-21,1,0,2016,8,6,0.3402695594402463,24.5,1.0,0.0,1,4.377390906269353,8.867355862939075,286.2497479131608,-0.689896419478832
13,26.0,1,West,2.0,Self-Employed,781020.81,261635.3,Education,747.0,0,252,35.91,2016-11-24,0,0,2016,11,3,0.33499145816614023,42.0,3.0,1.0,3,3.608482517041907,5.9924953066314535,329.4017416440285,-0.13865472360810951
14,52.0,1,East,2.0,Salaried,272168.94,20000.0,Education,707.0,1,191,30.75,2018-09-05,0,0,2018,9,2,0.07348377077854659,31.833333333333332,0.0,1.0,0,3.457892725338701,5.545268253204709,226.72398087500306,-2.345752919568632
15,37.0,2,North,1.0,Unemployed,1071546.48,326186.67,Car,700.0,2,132,22.59,2025-02-20,0,0,2025,2,3,0.3044073925752619,22.0,4.0,0.0,3,3.1608228934195837,4.752893855326458,368.36973556232346,0.23720260261719417
16,52.0,1,West,3.0,Self-Employed,581388.52,233735.1,Other,673.0,3,237,93.78,2023-07-16,1,0,2023,7,6,0.40202909407292736,39.5,2.0,0.0,1,4.551558416539442,9.684007434941384,296.7300422462685,-0.3139512667347498
17,26.0,1,East,0.0,Salaried,409343.26,325298.91,Home,574.0,4,163,81.0,2016-12-17,1,0,2016,12,5,0.7946849057683275,27.166666666666668,1.0,0.0,0,4.406719247264253,9.0,262.0478193177202,0.232273969330124
18,27.0,0,West,2.0,Salaried,432938.33,418450.92,Car,714.0,1,166,39.64,2016-08-11,0,0,2016,8,3,0.9665370123269057,27.666666666666668,1.0,1.0,0,3.7047528032702264,6.2960304954788775,267.30505519707845,0.7203210690686942
19,62.0,2,East,1.0,Unemployed,734084.01,162796.36,Business,729.0,1,170,56.02,2021-10-21,0,0,2021,10,3,0.22176802352635358,28.333333333333332,3.0,1.0,2,4.043402083484526,7.484650960465692,322.258534775395,-0.8082186897835479
20,57.0,0,West,1.0,Self-Employed,559765.66,422027.58,Car,581.0,3,273,86.26,2022-03-22,1,0,2022,3,1,0.753936173933928,45.5,2.0,0.0,1,4.468892167695464,9.287626176801046,292.7747557142523,0.7380256796338226
21,45.0,1,East,3.0,Unemployed,563263.65,327093.45,Business,757.0,7,273,10.78,2020-10-05,1,0,2020,10,0,0.580711093286421,45.5,2.0,1.0,1,2.4664031782234406,3.283291031876401,293.4212597607321,0.24223059738573166
22,34.0,0,South,1.0,Unemployed,333792.21,326224.95,Business,582.0,2,180,11.54,2020-02-18,1,0,2020,2,1,0.977329428988172,30.0,0.0,0.0,0,2.5289235352047745,3.3970575502926055,243.75683756489474,0.23741498815356407
23,58.0,1,North,0.0,Salaried,889648.89,176897.65,Car,757.0,2,41,30.74,2018-10-09,0,0,2018,10,1,0.19883984793146878,6.833333333333333,4.0,1.0,3,3.457577715098263,5.544366510251645,344.9260736335848,-0.7032284332296276
24,37.0,2,West,0.0,Self-Employed,703195.23,298283.48,Business,713.0,3,166,58.62,2020-06-28,0,0,2020,6,6,0.42418302524606144,27.666666666666668,3.0,1.0,2,4.087991088249925,7.656369897020388,317.394321826177,0.07927310462991445
25,53.0,2,West,2.0,Unemployed,597104.17,328589.81,Home,728.0,3,114,91.91,2023-08-08,1,0,2023,8,1,0.5503056694445795,19.0,2.0,1.0,2,4.531631282653221,9.586970324351693,299.54520683720335,0.25051404087327517
26,62.0,2,North,2.0,Unemployed,512774.7,267381.45,Education,641.0,1,147,41.68,2026-04-20,0,0,2026,4,0,0.5214404103790612,24.5,1.0,0.0,1,3.7537304264335525,6.456004956627589,283.8234343752114,-0.10361629914379292
27,46.0,1,East,3.0,Salaried,643295.23,357797.61,Business,609.0,2,174,35.1,2018-09-20,0,0,2018,9,3,0.5561950303906341,29.0,3.0,0.0,2,3.586292865338835,5.92452529743945,307.55065187358616,0.40893312414527333
28,45.0,1,East,1.0,Unemployed,638431.28,430867.07,Home,765.0,2,266,45.68,2020-04-26,0,0,2020,4,6,0.6748840219733594,44.333333333333336,2.0,1.0,2,3.8433158074183553,6.75869809948632,306.72562566548885,0.7814938853815062
29,45.0,2,East,1.0,Salaried,416762.22,329301.97,Education,635.0,1,234,67.12,2017-10-17,0,0,2017,10,1,0.7901435259654773,39.0,1.0,0.0,0,4.221270855794487,8.192679659305616,263.72157923484815,0.2544503978449852
30,57.0,1,North,2.0,Self-Employed,568066.29,322475.06,Home,691.0,1,290,40.62,2016-10-23,0,0,2016,10,6,0.5676715300251314,48.333333333333336,2.0,0.0,1,3.7285808209654885,6.373382147651276,294.3046583012918,0.21655619941732196
31,60.0,1,East,2.0,Salaried,990095.04,319282.65,Home,723.0,0,66,69.46,2025-07-10,0,0,2025,7,3,0.32247676950285503,11.0,4.0,1.0,3,4.255045172913092,8.334266614405852,358.21978945870694,0.1987121508377484
32,43.0,1,North,0.0,Unemployed,282282.05,20000.0,Business,694.0,2,248,25.67,2024-08-20,0,0,2024,8,1,0.07085112213121593,41.333333333333336,0.0,0.0,0,3.283539338193923,5.06655701635736,229.67995423820128,-2.345752919568632
33,21.0,1,South,1.0,Unemployed,1045322.77,198387.65,Business,556.0,0,108,66.12,2016-12-01,1,0,2016,12,3,0.18978602178540507,18.0,4.0,0.0,3,4.206482062158951,8.131420540102448,365.15833097665967,-0.5502217896285477
34,42.0,2,South,2.0,Unemployed,514217.73,618323.43,Other,762.0,1,163,23.48,2016-06-19,0,0,2016,6,6,1.2024545127994712,27.166666666666668,1.0,1.0,1,3.1978564576441255,4.845616575834287,284.10607656446166,1.6241500187542681
35,30.0,0,South,1.0,Unemployed,710954.86,416195.11,Education,605.0,2,241,65.23,2023-03-09,0,0,2023,3,3,0.5854030029417058,40.166666666666664,3.0,0.0,2,4.193133532496888,8.076509146902517,318.6291152939655,0.7091196554963097
36,55.0,0,East,3.0,Unemployed,585118.66,300272.04,Business,740.0,6,171,67.56,2025-03-19,1,0,2025,3,2,0.5131814459651654,28.5,2.0,1.0,1,4.227709274289524,8.219489035213806,297.40265682086664,0.0907426072422935
37,22.0,1,South,1.0,Salaried,446216.58,616697.65,Education,734.0,3,31,18.57,2018-06-25,0,0,2018,6,0,1.3820590216526691,5.166666666666667,1.0,1.0,0,2.9739977814079848,4.309292285283049,270.1821293240528,1.617383147011783
38,61.0,1,South,1.0,Salaried,617743.1,316544.94,Home,645.0,2,109,38.95,2022-07-13,0,0,2022,7,2,0.5124216523017416,18.166666666666668,2.0,0.0,2,3.6876286722122837,6.24099351065197,303.1701351210889,0.18334555274797376
39,56.0,2,North,1.0,Salaried,1087820.02,293987.23,Home,722.0,0,236,78.3,2018-05-07,1,0,2018,5,0,0.27025355720149363,39.333333333333336,4.0,1.0,3,4.373238128640803,8.848728722251575,370.33703372520733,0.054375241949577574
40,52.0,0,North,1.0,Self-Employed,554027.07,382760.55,Business,623.0,3,115,38.97,2025-12-11,0,0,2025,12,3,0.6908697620136143,19.166666666666668,2.0,0.0,1,3.688129172723232,6.2425956140054435,291.708434248616,0.5397651743226388
41,40.0,1,South,3.0,Salaried,545579.7,464816.53,Business,746.0,0,292,55.42,2023-11-05,0,0,2023,11,6,0.851968154240343,48.666666666666664,2.0,1.0,1,4.0328237055738505,7.4444610281739,290.1256497080665,0.9448236394466202
42,29.0,0,South,0.0,Salaried,803377.41,221521.79,Business,755.0,2,252,82.01,2025-05-22,1,0,2025,5,3,0.275738136575187,42.0,4.0,1.0,3,4.418961082466944,9.055937278934744,332.70631512773275,-0.39364068629144533
43,41.0,0,West,3.0,Self-Employed,681041.59,280478.54,Home,687.0,2,44,57.06,2019-10-26,0,0,2019,10,5,0.4118376089190089,7.333333333333333,3.0,0.0,2,4.061476958596484,7.553806987208503,313.8195770331117,-0.024999044601826
44,34.0,2,North,0.0,Self-Employed,748789.26,415601.75,Education,733.0,1,61,92.81,2022-11-22,1,0,2022,11,1,0.5550316653847306,10.166666666666666,3.0,1.0,2,4.541271460137859,9.633794683301073,324.5276118038173,0.7061687376824137
45,64.0,1,South,1.0,Salaried,80000.0,565564.73,Other,655.0,0,95,68.48,2022-02-24,0,0,2022,2,3,7.069559125,15.833333333333334,0.0,0.0,0,4.241038941372905,8.27526434623088,146.58605265628162,1.40028564738901
46,49.0,0,South,3.0,Salaried,800953.26,308335.82,Education,684.0,1,141,22.46,2016-06-26,0,0,2016,6,6,0.38496106501895005,23.5,4.0,0.0,3,3.1552968432253294,4.739198244429114,332.3509062148023,0.13690566967657883
47,48.0,0,South,0.0,Self-Employed,237978.91,88880.43,Other,622.0,4,192,10.97,2020-04-11,0,0,2020,4,5,0.37348028024836316,32.0,0.0,0.0,0,2.482403519569882,3.312099032335839,216.1674148414186,-1.4441670499887067
48,45.0,1,North,0.0,Salaried,546638.21,538523.66,Car,717.0,4,210,50.61,2021-11-28,0,0,2021,11,6,0.9851555382489637,35.0,2.0,1.0,1,3.9437154521606357,7.114070564732964,290.3248509586278,1.2818999925723185
49,38.0,1,West,3.0,Self-Employed,514199.69,368651.47,Car,685.0,1,246,69.11,2018-08-20,0,0,2018,8,0,0.7169422253055033,41.0,1.0,0.0,1,4.250065437218876,8.31324244804637,284.102546302015,0.46630803119068
50,36.0,0,North,1.0,Self-Employed,4229380.399999999,916873.48,Home,635.0,3,31,91.49,2020-12-14,1,0,2020,12,0,0.21678671419577206,5.166666666666667,4.0,0.0,3,4.527100530566169,9.565040512198577,597.9399652762759,2.755506736697811
51,48.0,0,East,3.0,Self-Employed,572267.02,446446.37,Business,563.0,1,205,29.5,2019-11-03,1,0,2019,11,6,0.7801364649670008,34.166666666666664,2.0,0.0,1,3.417726683613366,5.431390245600108,295.07337395360645,0.8571389791636495
52,26.0,2,West,1.0,Salaried,796001.6,20000.0,Education,708.0,2,65,16.48,2026-04-30,0,0,2026,4,3,0.025125577637029876,10.833333333333334,4.0,1.0,3,2.8610573702273894,4.059556626036888,331.62275817808217,-2.345752919568632
53,47.0,1,North,0.0,Unemployed,269941.7,574718.81,Education,774.0,2,82,43.4,2018-05-03,0,0,2018,5,3,2.1290479018247273,13.666666666666666,0.0,1.0,0,3.7932394694381792,6.587867636800241,226.06343091327335,1.4397818245105953
54,25.0,1,North,3.0,Unemployed,482706.09,195878.11,Other,688.0,0,25,68.8,2017-01-05,0,0,2017,1,3,0.40579166921221144,4.166666666666667,1.0,0.0,1,4.2456340097683265,8.294576541331088,277.81261247739496,-0.5676906254323869
55,24.0,1,North,0.0,Salaried,979058.33,346868.77,Home,654.0,0,70,33.35,2024-11-09,0,0,2024,11,5,0.35428815564032845,11.666666666666666,4.0,0.0,3,3.536602018668358,5.774945887192364,356.80324733930263,0.3503641581543552
56,23.0,2,North,1.0,Self-Employed,200219.13,406742.23,Home,590.0,2,173,52.34,2022-01-10,1,0,2022,1,0,2.0314853530729056,28.833333333333332,0.0,0.0,0,3.9766865187538682,7.234638899074369,203.29222788430587,0.6618803230266718
57,34.0,2,South,0.0,Unemployed,894824.3,310127.77,Home,844.0,2,226,76.7,2024-06-14,1,0,2024,6,4,0.34657951287196825,37.666666666666664,4.0,1.0,3,4.3528552573736015,8.757853618324527,345.63418970222995,0.14708998278238314
58,35.0,0,East,2.0,Salaried,1038835.21,155261.48,Education,734.0,1,117,64.11,2021-01-20,0,0,2021,1,2,0.1494572753266613,19.5,4.0,1.0,3,4.176078147248771,8.006872048434394,364.3557981192307,-0.8659996051260175
59,37.0,1,East,3.0,Salaried,821515.89,279438.33,Education,696.0,5,203,81.58,2021-04-06,1,0,2021,4,1,0.34014963484151234,33.833333333333336,4.0,0.0,3,4.413767520457944,9.03216474606171,335.34378659265155,-0.031181759930097433
60,43.0,0,East,0.0,Self-Employed,593744.21,257792.23,Business,683.0,3,259,39.03,2020-07-06,1,0,2020,7,0,0.43418062131502727,43.166666666666664,2.0,0.0,1,3.6896291730044823,6.24739945897491,298.947413343432,-0.16228240023173213
61,41.0,2,North,0.0,Unemployed,691649.56,159018.03,Car,638.0,3,141,29.03,2025-10-19,0,0,2025,10,6,0.22991127182962423,23.5,3.0,0.0,2,3.402196881995239,5.387949517209678,315.5405695749484,-0.837038508754293
62,32.0,2,East,1.0,Self-Employed,335196.62,220461.36,Home,616.0,1,20,55.43,2020-12-04,0,0,2020,12,4,0.6577075866695792,3.3333333333333335,0.0,0.0,0,4.033000931981049,7.445132638173749,244.12018963967637,-0.4006520644827076
63,42.0,1,East,2.0,Salaried,461587.67,120318.32,Business,837.0,0,268,50.9,2023-09-05,0,0,2023,9,1,0.26066190199577904,44.666666666666664,1.0,1.0,1,3.949318790171843,7.134423592694787,273.4440718857338,-1.1523178806224998
